Kaynak Pin,Net,Bagli Oldugu Pinler
U1.12,I2S_DOUT,U4.9
U1.13,USB_DM,"J1.A7, J1.B7"
U1.14,USB_DP,"J1.A6, J1.B6"
U1.15,NC__U1__15,-
U1.16,PA_CTRL,"R3.1, U5.1"
U1.17,I2S_BCLK,"U3.9, U4.6"
U1.18,I2S_DIN,U3.11
U1.19,NC__U1__19,-
U1.2,3V3,"C5.1, L1.2, R1.2, R2.2, R6.2, R7.2, R8.2, U2.14, U2.21"
U1.20,NC__U1__20,-
U1.21,NC__U1__21,-
U1.22,I2C_SCL,"J2.10, R7.1, U2.40, U3.4, U4.1"
U1.23,CTP_INT,J2.13
U1.24,CTP_RST,J2.12
U1.25,AXP_IRQ,"R8.1, U2.38"
U1.26,I2S_LRCK,"U3.10, U4.8"
U1.27,BOOT,R1.1
U1.28,NC__U1__28,-
U1.29,NC__U1__29,-
U1.3,ESP_EN,"C1.1, R2.1, U2.29"
U1.30,NC__U1__30,-
U1.31,TFT_RST,J2.4
U1.32,NC__U1__32,-
U1.33,TFT_BL,J2.8
U1.34,NC__U1__34,-
U1.35,NC__U1__35,-
U1.36,UART_RXD,-
U1.37,UART_TXD,-
U1.38,NC__U1__38,-
U1.39,NC__U1__39,-
U1.4,TFT_DC,J2.5
U1.40,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
U1.41,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
U1.5,TFT_CS,J2.3
U1.6,TFT_SCLK,J2.7
U1.7,TFT_MOSI,J2.6
U1.8,I2C_SDA,"J2.11, R6.1, U2.39, U3.3, U4.19"
U1.9,I2S_MCLK,"U3.5, U4.2"
U2.1,NC__U2__1,-
U2.10,NC__U2__10,-
U2.11,NC__U2__11,-
U2.12,CTP_3V3,C10.1
U2.13,SYS,"C3.1, U2.17, U2.23, U2.24, U2.34, U2.6, U2.7"
U2.14,3V3,"C5.1, L1.2, R1.2, R2.2, R6.2, R7.2, R8.2, U1.2, U2.21"
U2.15,NC__U2__15,-
U2.16,LCD_3V3,"C9.1, J2.1"
U2.17,SYS,"C3.1, U2.13, U2.23, U2.24, U2.34, U2.6, U2.7"
U2.18,AUD_3V3,"C7.1, C12.1, U4.11, U4.20, U4.3, U4.4"
U2.19,MIC_3V3,"C8.1, C11.1, U3.22, U3.23, U3.6, U3.7"
U2.2,AXP_VREF,-
U2.20,NC__U2__20,-
U2.21,3V3,"C5.1, L1.2, R1.2, R2.2, R6.2, R7.2, R8.2, U1.2, U2.14"
U2.22,DCDC1_LX,L1.1
U2.23,SYS,"C3.1, U2.13, U2.17, U2.24, U2.34, U2.6, U2.7"
U2.24,SYS,"C3.1, U2.13, U2.17, U2.23, U2.34, U2.6, U2.7"
U2.25,NC__U2__25,-
U2.26,NC__U2__26,-
U2.27,NC__U2__27,-
U2.28,NC__U2__28,-
U2.29,ESP_EN,"C1.1, R2.1, U1.3"
U2.3,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
U2.30,PWRON,-
U2.31,BAT_NTC,R9.1
U2.32,NC__U2__32,-
U2.33,VBAT,"C4.1, C13.1, U5.6"
U2.34,SYS,"C3.1, U2.13, U2.17, U2.23, U2.24, U2.6, U2.7"
U2.35,NC__U2__35,-
U2.36,AXP_VMID,-
U2.37,VBUS,"C2.1, C6.1, J1.A4B9, J1.B4A9"
U2.38,AXP_IRQ,"R8.1, U1.25"
U2.39,I2C_SDA,"J2.11, R6.1, U1.8, U3.3, U4.19"
U2.4,NC__U2__4,-
U2.40,I2C_SCL,"J2.10, R7.1, U1.22, U3.4, U4.1"
